Date,Price,Open,High,Low,Vol.,Change %
2020-06-22,9697.7,"9,298.1","9,794.2","9,285.2",5.88K,4.297652208515723
2020-06-23,9635.1,"9,697.7","9,724.0","9,594.7",3.42K,-0.6455138847355602
2020-06-24,9312.1,"9,635.1","9,684.1","9,222.3",5.52K,-3.352326389970006
2020-06-25,9257.0,"9,312.1","9,344.0","9,012.7",5.55K,-0.5917032677913769
2020-06-26,9173.1,"9,257.0","9,299.0","9,054.1",3.69K,-0.9063411472399197
2020-06-27,9015.3,"9,173.1","9,199.5","8,857.3",3.37K,-1.7202472446610328
2020-06-28,9127.8,"9,015.3","9,193.2","8,949.4",2.11K,1.2478786063691683
2020-06-29,9194.4,"9,127.8","9,242.1","9,030.2",3.64K,0.7296391244330458
2020-06-30,9150.6,"9,194.4","9,206.5","9,077.1",1.83K,-0.47637692508483154
2020-07-01,9239.9,"9,150.6","9,298.0","9,109.5",2.19K,0.975892291215863
2020-07-02,9100.0,"9,239.9","9,266.1","8,950.2",3.79K,-1.5140856502775968
2020-07-03,9073.9,"9,100.0","9,135.5","9,058.1",1.09K,-0.2868131868131951
2020-07-04,9147.7,"9,073.9","9,203.5","9,060.0",1.13K,0.8133217249473912
2020-07-05,9089.7,"9,147.7","9,152.3","9,004.9",2.08K,-0.6340391573838255
2020-07-06,9361.0,"9,089.7","9,361.0","9,080.1",4.26K,2.9846969646962984
2020-07-07,9267.5,"9,361.0","9,361.0","9,255.1",1.63K,-0.9988249118683901
2020-07-08,9447.0,"9,267.5","9,480.7","9,267.5",3.81K,1.9368761801996204
2020-07-09,9248.9,"9,447.0","9,447.0","9,215.0",3.71K,-2.0969619985180543
2020-07-10,9305.7,"9,248.9","9,305.7","9,161.9",1.42K,0.6141270853831315
2020-07-11,9246.3,"9,305.7","9,305.7","9,221.8",0.81K,-0.6383184499822891
2020-07-12,9315.8,"9,246.3","9,315.8","9,195.6",1.86K,0.751652012156212
2020-07-13,9252.0,"9,315.8","9,344.8","9,238.1",1.93K,-0.6848579832113066
2020-07-14,9263.4,"9,252.0","9,270.7","9,194.8",2.20K,0.12321660181582317
2020-07-15,9210.1,"9,263.4","9,263.4","9,195.7",0.90K,-0.5753826888615365
2020-07-16,9149.9,"9,210.1","9,215.7","9,092.1",2.87K,-0.653630253743176
2020-07-17,9167.3,"9,149.9","9,172.0","9,128.8",1.06K,0.19016601274330913
2020-07-18,9189.1,"9,167.3","9,200.1","9,142.9",1.17K,0.23780175187897434
2020-07-19,9231.2,"9,189.1","9,231.2","9,130.5",1.44K,0.45815150558814466
2020-07-20,9179.2,"9,231.2","9,231.2","9,169.7",1.40K,-0.5633070456712019
2020-07-21,9402.0,"9,179.2","9,434.0","9,179.2",5.40K,2.427226773575031
2020-07-22,9557.7,"9,402.0","9,557.7","9,349.3",4.14K,1.6560306317804807
2020-07-23,9615.0,"9,557.7","9,642.9","9,494.6",4.70K,0.5995166201073321
2020-07-24,9559.4,"9,615.0","9,615.0","9,505.3",2.26K,-0.578263130525225
2020-07-25,9714.9,"9,559.1","9,730.5","9,559.1",2.56K,1.626671129987245
2020-07-26,9948.1,"9,714.9","10,008.0","9,685.8",8.94K,2.4004364429896397
2020-07-27,11044.0,"9,946.3","11,249.1","9,946.3",21.58K,11.01617394276293
2020-07-28,10932.0,"11,044.0","11,211.8","10,761.0",9.88K,-1.0141253169141606
2020-07-29,11117.0,"10,932.0","11,240.0","10,929.2",8.82K,1.692279546286124
2020-07-30,11123.0,"11,117.0","11,180.0","10,965.0",4.25K,0.053971395160568036
2020-07-31,11350.0,"11,123.0","11,378.0","11,038.0",5.83K,2.0408163265306145
2020-08-01,11804.7,"11,350.0","11,804.7","11,307.0",10.57K,4.006167400881067
2020-08-02,11053.8,"11,804.7","11,917.0","11,032.0",13.22K,-6.36102569315613
2020-08-03,11226.5,"11,053.8","11,389.0","11,053.8",4.09K,1.562358645895534
2020-08-04,11184.0,"11,226.5","11,346.8","11,096.0",3.26K,-0.37856856544782325
2020-08-05,11735.8,"11,184.0","11,735.8","11,182.0",5.79K,4.933834048640917
2020-08-06,11759.0,"11,735.8","11,858.0","11,649.7",3.90K,0.19768571379881195
2020-08-07,11580.0,"11,759.0","11,845.0","11,509.0",5.09K,-1.5222382855685002
2020-08-08,11764.0,"11,580.0","11,772.0","11,564.0",1.87K,1.5889464594127878
2020-08-09,11675.7,"11,764.0","11,782.0","11,572.0",1.57K,-0.7505950357021396
2020-08-10,11892.0,"11,675.7","12,024.0","11,675.7",6.57K,1.8525655849328082
2020-08-11,11379.8,"11,892.0","11,912.0","11,278.0",7.11K,-4.3070972082072
2020-08-12,11591.0,"11,379.8","11,591.0","11,257.0",5.82K,1.8559201391940228
2020-08-13,11792.5,"11,589.0","11,792.5","11,388.0",5.78K,1.7384177379000887
2020-08-14,11761.0,"11,792.5","11,824.0","11,699.0",4.65K,-0.26711893152426835
2020-08-15,11873.4,"11,761.0","11,977.4","11,761.0",4.04K,0.9557010458294268
2020-08-16,11925.0,"11,873.4","11,925.0","11,781.0",2.71K,0.43458487038254834
2020-08-17,12300.0,"11,925.0","12,415.0","11,826.1",10.12K,3.1446540880503138
2020-08-18,11961.8,"12,300.0","12,359.0","11,927.2",7.18K,-2.7495934959349655
